1	1	2	142.64505	2	0.002553	0.05115	0.014166	0.11	0.01	-0.109709	-0.727254	-0.916193	-0.921763	-0.231086	-0.269347	0.025419 	0.004149 	0.010087 	0.031515 	0.006386 	0.005373 
2	3	4	384.31113	2	0	0.125425	0.014166	0.088	0.008	0.757702	-0.764826	-0.856084	-0.921763	-0.243433	-0.277962	0.069153 	0.000000 	0.024735 	0.031515 	0.005109 	0.004299 
3	5	6	130.69608	2	0	0.098037	0.008732	0.12	0.01	-0.152597	-0.764826	-0.878248	-0.959584	-0.225473	-0.269347	0.023256 	0.000000 	0.019334 	0.019426 	0.006967 	0.005373 
4	1	5	146.56198	2	0	0.094571	0.014166	0.09	0.01	-0.09565	-0.764826	-0.881053	-0.921763	-0.242311	-0.269347	0.026128 	0.000000 	0.018650 	0.031515 	0.005225 	0.005373 
5	3	10	214.61333	2	0	0.094436	0.008732	0.088	0.008	0.148606	-0.764826	-0.881162	-0.959584	-0.243433	-0.277962	0.038443 	0.000000 	0.018624 	0.019426 	0.005109 	0.004299 
6	11	12	335.08215	2	0.00055	0.10211	0.008732	0.12	0.01	0.581005	-0.756738	-0.874952	-0.959584	-0.225473	-0.269347	0.060244 	0.000894 	0.020137 	0.019426 	0.006967 	0.005373 
7	4	14	436.32065	2	0	0.117955	0.013795	0.102	0.01	0.94438	-0.764826	-0.862129	-0.924343	-0.235576	-0.269347	0.078565 	0.000000 	0.023262 	0.030689 	0.005922 	0.005373 
8	15	16	5455.1543	1	0.001953	0.039009	0.013795	0.114	0.01	18.958463	-0.736089	-0.926018	-0.924343	-0.228841	-0.269347	0.986823 	0.003174 	0.007693 	0.030689 	0.006618 	0.005373 
9	12	6	382.51678	2	0.000729	0.075176	0.008732	0.09	0.01	0.751262	-0.754091	-0.896749	-0.959584	-0.242311	-0.269347	0.068828 	0.001185 	0.014825 	0.019426 	0.005225 	0.005373 
10	19	20	5527.966	1	0.001863	0.079739	0.013795	0.114	0.01	19.219806	-0.737415	-0.893057	-0.924343	-0.228841	-0.269347	1.000000 	0.003028 	0.015725 	0.030689 	0.006618 	0.005373 
11	21	19	1157.0377	1	0	0.077594	0.014166	0.092	0.01	3.531247	-0.764826	-0.894792	-0.921763	-0.241188	-0.269347	0.208993 	0.000000 	0.015302 	0.031515 	0.005341 	0.005373 
12	16	24	1313.6847	1	0.000055	0.08048	0.013795	0.106	0.01	4.0935	-0.764021	-0.892457	-0.924343	-0.233331	-0.269347	0.237342 	0.000089 	0.015871 	0.030689 	0.006154 	0.005373 
13	25	21	3087.5671	1	0.000632	0.067423	0.013795	0.077	0.01	10.46049	-0.755519	-0.903024	-0.924343	-0.249607	-0.269347	0.558361 	0.001027 	0.013297 	0.030689 	0.004470 	0.005373 
14	27	28	210.72458	2	0	0.139413	0.01773	0.12	0.01	0.134649	-0.764826	-0.844764	-0.896954	-0.225473	-0.269347	0.037739 	0.000000 	0.027494 	0.039443 	0.006967 	0.005373 
